"id2","statue2","temperature2","cloud_cover2","precipitation2","wind_speed2","date_created2"
"1","bonne","23.5","5.0","0.0","10.1","2024-05-13"
"2","mauvaise","23.5","5.0","0.0","10.1","2024-05-13"
"3","bonne","33.4","0.0","0.0","1.5","2024-05-13"
"4","mauvaise","29.5","0.0","0.0","23.5","2024-05-13"
"5","bonne","23.3","0.0","0.0","14.7","2024-05-13"
"6","mauvaise","34.6","0.0","0.0","10.2","2024-05-13"
"7","bonne","33.5","0.0","0.0","1.9","2024-05-13"
"8","mauvaise","35.4","0.0","0.0","4.8","2024-05-13"
"9","mauvaise","35.4","0.0","0.0","4.8","2024-05-13"
"10","bonne","23.3","0.0","0.0","14.7","2024-05-13"
"11","mauvaise","29.5","0.0","0.0","23.5","2024-05-13"
"12","bonne","35.4","0.0","0.0","4.8","2024-05-13"
"13","mauvaise","22.3","2.0","0.0","14.4","2024-05-13"
"14","bonne","22.3","2.0","0.0","14.4","2024-05-13"
"15","bonne","22.3","2.0","0.0","14.4","2024-05-13"
"16","mauvaise","22.3","2.0","0.0","14.4","2024-05-13"
"17","bonne","22.3","2.0","0.0","14.4","2024-05-13"
"18","mauvaise","23.5","5.0","0.0","10.1","2024-05-13"
"19","mauvaise","23.5","5.0","0.0","10.1","2024-05-13"
"20","mauvaise","23.3","0.0","0.0","14.7","2024-05-13"
"21","mauvaise","29.5","0.0","0.0","23.5","2024-05-13"
